date,symbol,close,change,change_rate,open,high,low,volume,trade_value
2020-08-07,KAU19,17050,1550,10,16300,17050,16300,62735,1029001050
2020-08-10,KAU19,17100,50,0.29,17050,17100,17050,4700,80285000
2020-08-11,KAU19,17100,0,0,17100,17100,17100,4500,76950000
2020-08-12,KAU19,17200,100,0.58,17100,17200,17100,4500,77100000
2020-08-13,KAU19,17700,500,2.91,17800,17800,17700,4500,79950000
2020-08-14,KAU19,17750,50,0.28,17500,17750,17500,7400,130765000
2020-08-18,KAU19,17800,50,0.28,17750,17800,17750,10000,177625000
2020-08-19,KAU19,19000,1200,6.74,17900,19000,17900,18200,337875000
2020-08-20,KAU19,19700,700,3.68,19500,19700,19300,9000,174500000
2020-08-21,KAU19,19850,150,0.76,19700,19850,19700,10500,207825000
2020-08-24,KAU19,21000,1150,5.79,19850,21000,19850,28500,572150000
2020-08-25,KAU19,21000,0,0,21000,21000,21000,14200,298200000
2020-08-26,KAU19,21000,0,0,21000,21000,21000,20000,420000000
2020-08-27,KAU19,21000,0,0,21000,21000,21000,42323,884871500
2020-08-28,KAU19,21000,0,0,21000,21100,21000,58582,1231722000
2020-08-31,KAU19,19950,-1050,-5,20950,21000,19950,22500,466625000
2020-09-01,KAU19,20000,50,0.25,20000,20000,20000,15050,301000000
2020-09-02,KAU19,20000,0,0,20000,20000,20000,13269,265380000
2020-09-03,KAU19,21500,1500,7.5,21500,21500,21500,1507,32400500
2020-09-04,KAU19,21000,-500,-2.33,22000,23000,21000,24500,541378000
2020-09-07,KAU19,21000,0,0,0,0,0,100680,2114280000
2020-09-08,KAU20,21300,100,0.47,21200,21300,21200,335000,7029000000
2020-09-09,KAU20,21350,50,0.23,21250,21350,21250,8100,172415000
2020-09-10,KAU20,21350,0,0,21400,21400,21200,6600,140710000
2020-09-11,KAU20,21350,0,0,21350,21350,21350,20650,440877500
2020-09-14,KAU20,21300,-50,-0.23,21350,21350,21300,29000,619050000
2020-09-15,KAU20,21300,0,0,21300,21350,21300,46736,995726800
2020-09-16,KAU20,21400,100,0.47,21300,21400,21300,20500,437775000
2020-09-17,KAU20,21500,100,0.47,21400,21500,21400,32764,702605600
2020-09-18,KAU20,21700,200,0.93,21500,21700,21500,15500,334575000
2020-09-21,KAU20,21600,-100,-0.46,21700,21700,21600,11000,238400000
2020-09-22,KAU20,21850,250,1.16,21600,21850,21600,19979,433791150
2020-09-23,KAU20,22500,650,2.97,22000,22500,22000,33000,732900000
2020-09-24,KAU20,22550,50,0.22,23000,23000,22500,45000,1020506000
2020-09-25,KAU20,22600,50,0.22,22600,22700,22600,22500,509000000
2020-09-28,KAU20,22750,150,0.66,22650,22750,22650,33000,748550000
2020-09-29,KAU20,22300,-450,-1.98,22700,22750,22300,33023,748555750
2020-10-05,KAU20,22200,-100,-0.45,22300,22300,22200,4500,100200000
2020-10-06,KAU20,22550,350,1.58,22300,22550,22300,7000,156750000
2020-10-07,KAU20,22800,250,1.11,22600,22800,22600,10500,238400000
2020-10-08,KAU20,23000,200,0.88,22900,23000,22900,5000,114550000
2020-10-12,KAU20,23150,150,0.65,23000,23150,23000,7000,161500000
2020-10-13,KAU20,23400,250,1.08,23200,23400,23200,7000,162900000
2020-10-14,KAU20,23700,300,1.28,23650,23700,23650,17000,402200000
2020-10-15,KAU20,23550,-150,-0.63,23000,23800,23000,35500,825375000
2020-10-16,KAU20,24100,550,2.34,24000,24300,24000,55000,1322400000
2020-10-19,KAU20,24500,400,1.66,24500,24500,24100,93500,2262625000
2020-10-20,KAU20,25000,500,2.04,24500,25000,24500,19000,470600000
2020-10-21,KAU20,25000,0,0,25000,25100,25000,14500,362800000
2020-10-22,KAU20,24500,-500,-2,25000,25000,24500,18000,448300000
2020-10-23,KAU20,24800,300,1.22,25000,25000,24800,35000,873400000
2020-10-26,KAU20,24900,100,0.4,24850,24900,24800,117200,2888080000
2020-10-27,KAU20,24800,-100,-0.4,25100,25100,24800,64004,1592125400
2020-10-28,KAU20,24300,-500,-2.02,25000,25000,24300,30500,750500000
2020-10-29,KAU20,24000,-300,-1.23,24000,24000,24000,48000,1152000000
2020-10-30,KAU20,24050,50,0.21,24100,24500,24050,49728,1203742600
2020-11-02,KAU20,21850,-2200,-9.15,21850,21850,21850,1500,32775000
2020-11-03,KAU20,22500,650,2.97,21850,22500,21850,9500,210275000
